Algorithm,ExecutionDevice,MinSupport,SupportPercentage,MinimumTransactionCount,OriginalColumnCount,InputColumnCountAfterPruning,FrequentItemsetCount,SingletonCount,PairCount,TripleCount,Length4PlusCount,MaximumItemsetLength,RuntimeSeconds,RSSBeforeMiningMiB,SampledPeakRSSMiB,PeakRSSIncreaseMiB,RSSAfterMiningMiB,RetainedRSSChangeMiB,SerializedResultMiB,OutputFile
FP-Growth,CPU,0.02,2.0,791,4725,266,324,266,58,0,0,2,11.083812099999705,1843.7421875,2005.03125,161.2890625,1921.34765625,77.60546875,0.0259437561035156,/content/drive/MyDrive/BIL476_Market_Basket_Analysis/results/fpgrowth_frequent_itemsets_support_0p0200.parquet
FP-Growth,CPU,0.01,1.0,396,4725,707,1355,707,533,109,6,4,103.61459160200002,1851.734375,2278.2890625,426.5546875,2008.7421875,157.0078125,0.1122360229492187,/content/drive/MyDrive/BIL476_Market_Basket_Analysis/results/fpgrowth_frequent_itemsets_support_0p0100.parquet
FP-Growth,CPU,0.0075,0.75,297,4725,969,2666,969,1286,354,57,5,279.2544426450004,1862.10546875,2482.91015625,620.8046875,2051.87890625,189.7734375,0.225743293762207,/content/drive/MyDrive/BIL476_Market_Basket_Analysis/results/fpgrowth_frequent_itemsets_support_0p0075.parquet
FP-Growth,CPU,0.005,0.5,198,4725,1451,7965,1451,4293,1740,481,6,1111.868396378,1878.2265625,2807.82421875,929.59765625,2127.828125,249.6015625,0.6957206726074219,/content/drive/MyDrive/BIL476_Market_Basket_Analysis/results/fpgrowth_frequent_itemsets_support_0p0050.parquet
