MinimumConfidence,RuleCount,OneToOneRuleCount,LiftGreaterThanOneCount,LiftAtMostOneCount,MedianLift,MedianKulczynski,MedianCosine
0.0,5510,2572,5510,0,8.539331089556503,0.34128603104212857,0.2903224697317663
0.2,3698,1563,3698,0,10.102670183759386,0.36311433309835595,0.33051993909239064
0.3,2566,892,2566,0,11.753951317291943,0.3860189648009572,0.3459787999694328
0.4,1799,527,1799,0,12.210544489911832,0.4090091446051711,0.3550163913261824
0.5,1181,254,1181,0,13.060298474300101,0.4245443723420885,0.3579614275426843
0.6,698,106,698,0,14.510618561071777,0.4443013233773284,0.3604725014830079
0.7,294,36,294,0,16.321300599888318,0.4881286032118115,0.38967145022552335
0.8,70,8,70,0,25.671694568018538,0.6001437937086949,0.5482821016454169
0.9,13,0,13,0,50.41796719870891,0.6800097795163584,0.6378878288043527
